id;age;creditcard;woman;instalments;mattress
1;54.2604923884574;0;0;0;1
2;64.3590248364176;1;0;1;2
3;35.6630363487875;0;0;1;1
4;44.9853278494669;1;1;0;1
5;33.6747936090171;1;0;0;0
6;46.8808841797968;1;0;0;1
7;53.6057546406865;1;1;0;1
8;46.4602352930042;0;1;0;1
9;57.1145049755746;1;1;0;1
10;46.4718578869307;0;0;1;1
11;43.1613574068905;0;0;0;1
12;33.0841004937698;1;0;0;0
13;57.3961752062132;0;0;0;1
14;47.3915328340739;0;1;0;1
15;36.7381347749128;0;0;0;0
16;30.6793327337121;0;0;0;0
17;61.3781153135998;0;1;0;2
18;29.1779117963844;1;0;0;0
19;27.8423096439081;1;1;1;1
20;62.6313731815411;0;0;1;2
21;53.4092685874269;0;0;0;1
22;38.9716063836912;0;1;1;1
23;59.9457803158324;0;1;1;2
24;62.5669677552215;1;0;0;2
25;62.9916887866863;0;1;1;2
26;61.108320476105;0;0;1;2
27;58.0036276530188;1;1;0;2
28;51.5018365472117;0;0;0;1
29;36.4294675666709;0;1;0;0
30;56.2100279207117;0;0;0;1
31;39.5044497834709;1;0;0;1
32;39.6574398227996;1;0;0;1
33;42.5024895270381;1;0;0;1
34;42.3469685739169;0;0;0;1
35;44.8792061354581;0;0;0;1
36;53.2672813236147;1;1;0;2
37;51.4176795033243;1;0;0;1
38;33.4745593122292;1;0;0;1
39;60.0531105557057;0;1;0;2
40;48.5266668291961;0;1;0;1
41;29.1888969058631;0;1;0;0
42;33.7353760627868;1;1;0;0
43;34.7151654423568;1;1;0;1
44;48.6663185487306;1;0;0;1
45;52.8951449267807;0;1;0;1
46;42.4457198176628;0;0;1;1
47;33.8613305446165;0;1;1;1
48;43.570694390744;1;0;0;1
49;31.9774823132667;1;1;0;0
50;32.3868897881257;1;0;1;0
51;40.5573742456218;1;1;0;1
52;29.312795567241;0;0;0;0
53;54.6631158173927;1;1;1;2
54;54.9545737483594;1;1;0;1
55;27.963748210371;1;1;0;0
56;31.5433195564596;0;1;0;0
57;60.625522802448;1;1;0;1
58;41.794532046259;0;1;0;2
59;59.2257596914677;0;0;0;1
60;51.2031325522764;1;0;0;1
61;47.5241922298446;1;1;0;1
62;32.9660577610858;0;0;0;0
63;48.798816105653;1;0;0;1
64;33.7279976505596;1;0;0;0
65;53.2893187773301;1;0;0;1
66;33.1104753863593;0;0;1;1
67;34.8773304537031;0;1;0;1
68;42.9850754367414;1;0;1;1
69;64.0260990931486;0;0;0;2
70;41.5165886832425;1;1;0;1
71;32.6095626489817;0;0;1;0
72;56.01749302061;1;0;0;2
73;55.9225864403487;0;0;0;1
74;38.6920905063256;0;1;0;0
75;44.1810913815738;0;1;0;1
76;42.1437531491793;0;0;0;1
77;29.8214863826227;0;0;0;0
78;60.380719192934;1;0;0;2
79;35.3976534481068;0;0;0;1
80;39.8057805614262;1;0;0;1
81;28.5937658750986;1;0;0;0
82;42.7027566973415;1;0;0;1
83;35.9750284683221;0;0;0;1
84;25.7837546929598;1;0;1;0
85;61.043710174395;0;1;0;2
86;55.0988136474597;1;1;0;1
87;59.3943842156352;0;0;0;2
88;41.5539006216508;0;1;0;1
89;29.3321466545975;0;1;0;0
90;34.9865160566198;0;0;0;0
91;64.4061841583621;1;0;0;2
92;29.0095649364801;0;1;0;0
93;55.8091691782056;1;1;0;2
94;32.4195428523042;1;0;0;1
95;28.2342020625926;1;0;1;0
96;50.8331389367463;0;0;0;1
97;53.5219572479135;0;0;0;1
98;41.5755988867467;1;0;0;1
99;54.4764530205562;1;0;0;1
100;54.2652970152604;1;0;0;2
101;50.554524828336;0;1;0;2
102;64.8093490798398;1;1;0;2
103;44.1930761839951;0;1;0;1
104;38.3483818435719;0;0;1;1
105;33.8950906591967;1;1;0;1
106;35.0314099112335;0;0;0;0
107;60.7788340863788;0;1;0;2
108;45.8008769229351;1;1;0;1
109;35.1271423149782;1;0;0;1
110;26.5943708269029;0;0;0;0
111;38.2654719684076;1;1;0;1
112;31.6949041799571;1;0;0;0
113;50.88289295224;0;0;0;2
114;42.7020278159353;1;0;0;1
115;31.4599423303704;1;0;1;1
116;28.5092875367953;0;0;1;0
117;51.8202403799893;0;1;0;1
118;29.3247422202924;1;1;0;0
119;32.4022333623217;0;0;0;0
120;43.532755560579;0;1;0;1
121;25.7162716522118;0;1;0;0
122;33.4951393094349;1;1;0;0
123;36.8186522773832;1;0;0;1
124;58.9644132312492;0;1;0;2
125;34.2053264957679;1;1;1;0
126;53.8592514487225;1;0;0;1
127;27.9302558257681;0;1;0;0
128;26.347249573026;0;1;0;0
129;47.0858338327745;1;0;0;1
130;56.4212783132077;1;1;0;2
131;52.6939648912652;1;0;1;1
132;58.0372642352462;0;0;0;2
133;47.3802218570824;1;1;0;1
134;48.2193754652747;0;0;0;1
135;34.1608758381261;0;1;0;0
136;31.1361432675911;0;1;0;0
137;32.0680846292709;0;1;0;0
138;40.2399410302431;1;0;0;1
139;27.969994013308;1;0;0;1
140;58.1724293265946;1;1;0;2
141;45.5208439422671;1;1;0;1
142;27.5547697238006;1;0;0;0
143;51.4008578314477;0;1;1;1
144;29.8956613496394;1;0;0;0
145;26.7822167291026;1;0;0;0
146;26.6321185859549;1;1;0;0
147;54.6199298200933;1;0;0;2
148;48.8225958494481;1;1;0;1
149;33.2321536449675;1;0;1;0
150;35.6657025515397;1;1;0;0
151;50.7033563412952;1;0;0;1
152;59.9656307514748;1;1;0;2
153;64.4001942858986;0;0;0;2
154;60.9852946026513;1;0;1;2
155;45.9452294144661;1;0;0;1
156;40.0040281522894;1;0;0;1
157;37.9036031664472;0;0;0;1
158;28.2171480007816;0;1;0;0
159;42.8431634254671;1;0;0;1
160;37.9093473333449;0;0;0;1
161;38.5078493516365;1;1;0;1
162;62.6069165232184;1;1;0;2
163;42.7062533044108;1;1;0;1
164;32.0544293791061;1;0;0;0
165;27.6090589027826;0;0;1;0
166;43.7047060611065;1;1;0;1
167;50.2752498435026;0;0;0;1
168;34.2926256027146;0;1;0;0
169;50.147919713728;0;0;1;1
170;39.9387993640276;1;0;0;1
171;62.7794964427649;1;0;0;2
172;39.3391142227629;1;1;0;1
173;40.3253120586152;0;1;1;1
174;54.6109237084006;0;1;1;1
175;42.6191131645879;1;0;0;1
176;44.8066513144078;0;0;0;1
177;60.7236758864581;1;0;0;2
178;60.4186697099185;1;1;0;2
